;================================================= ~~ LFRR/LFRB/Gates ~~ =================================================;
N048.26.48.529:W004.24.38.124:LFRB Gates:ACB
N048.26.46.881:W004.24.45.712:LFRB Gates:Hangars
N048.26.44.055:W004.24.56.070:LFRB Gates:P - Secondary
N048.26.38.775:W004.25.04.427:LFRB Gates:TWR
N048.26.38.103:W004.25.06.837:LFRB Gates:Fret
N048.26.35.883:W004.25.11.862:LFRB Gates:Terminal
N048.26.35.383:W004.25.21.258:LFRB Gates:1S
N048.26.36.828:W004.25.22.193:LFRB Gates:1N
N048.26.35.756:W004.25.19.745:LFRB Gates:2
N048.26.37.989:W004.25.19.367:LFRB Gates:3N
N048.26.36.310:W004.25.18.154:LFRB Gates:3S
N048.26.39.404:W004.25.18.254:LFRB Gates:4
N048.26.37.551:W004.25.16.630:LFRB Gates:4AS
N048.26.39.952:W004.25.17.286:LFRB Gates:4AN
N048.26.40.462:W004.25.15.451:LFRB Gates:5
N048.26.40.625:W004.25.14.221:LFRB Gates:6
N048.26.39.397:W004.25.13.882:LFRB Gates:8A
N048.26.38.273:W004.25.13.348:LFRB Gates:7A
N048.26.39.120:W004.25.12.302:LFRB Gates:7
N048.26.39.112:W004.25.09.914:LFRB Gates:8
N048.26.43.984:W004.25.03.316:LFRB Gates:9
N048.26.44.138:W004.25.02.481:LFRB Gates:10
N048.26.44.307:W004.25.01.813:LFRB Gates:11
N048.26.45.060:W004.25.01.540:LFRB Gates:Q2
N048.26.46.730:W004.24.57.830:LFRB Gates:Q3
N048.26.45.840:W004.25.01.590:LFRB Gates:Q4
N048.26.44.517:W004.25.00.625:LFRB Gates:12
N048.26.44.728:W004.24.59.920:LFRB Gates:13
N048.26.45.370:W004.24.59.366:LFRB Gates:14
N048.26.45.223:W004.24.57.784:LFRB Gates:15
N048.26.45.564:W004.24.55.954:LFRB Gates:16
N048.26.45.928:W004.24.54.288:LFRB Gates:17
N048.26.46.250:W004.24.52.821:LFRB Gates:18
;=============================================== ~~ LFRR/LFRB/Taxiways ~~ ================================================;
N048.26.42.885:W004.25.15.302:LFRB Taxiways:Y
N048.26.45.807:W004.25.18.383:LFRB Taxiways:C2
N048.26.44.820:W004.25.17.880:LFRB Taxiways:C1
N048.26.43.330:W004.25.11.484:LFRB Taxiways:Z
N048.26.46.448:W004.25.09.257:LFRB Taxiways:P
N048.26.50.599:W004.25.00.403:LFRB Taxiways:D2
N048.26.48.850:W004.25.00.060:LFRB Taxiways:D1
N048.26.50.475:W004.24.50.760:LFRB Taxiways:S
N048.26.50.780:W004.24.54.800:LFRB Taxiways:S
N048.26.54.269:W004.24.46.795:LFRB Taxiways:E2
N048.26.51.258:W004.24.45.220:LFRB Taxiways:E1
N048.27.02.999:W004.24.47.963:LFRB Taxiways:N
